date,App/System,General/Other,Network/QoS,"Network/QoS, App/System",Pricing/Billing,"Pricing/Billing, App/System","Pricing/Billing, Network/QoS","Pricing/Billing, Network/QoS, App/System",total_complaints,TFI_Score,TFI_MA_7D
2026-06-11,4.0,119.0,26.0,11.0,15.0,6.0,18.0,11.0,210.0,8.19,10.88
2026-06-12,2.0,142.0,35.0,9.0,20.0,5.0,11.0,10.0,234.0,9.57,10.72
2026-06-13,5.0,122.0,22.0,8.0,16.0,3.0,10.0,9.0,195.0,8.31,10.56
2026-06-14,2.0,118.0,20.0,6.0,25.0,2.0,14.0,11.0,198.0,9.29,10.08
2026-06-15,5.0,121.0,19.0,7.0,23.0,2.0,13.0,5.0,195.0,9.13,9.85
2026-06-16,5.0,119.0,31.0,7.0,20.0,6.0,10.0,6.0,204.0,10.49,9.62
2026-06-17,4.0,124.0,37.0,12.0,22.0,3.0,17.0,7.0,226.0,10.8,9.4
2026-06-18,3.0,125.0,45.0,9.0,20.0,4.0,26.0,17.0,249.0,10.68,9.75
2026-06-19,2.0,123.0,45.0,13.0,21.0,3.0,29.0,11.0,247.0,10.85,9.94
2026-06-20,1.0,133.0,38.0,15.0,23.0,5.0,26.0,10.0,251.0,9.8,10.15
2026-06-21,4.0,152.0,30.0,13.0,29.0,2.0,20.0,11.0,261.0,9.35,10.16
2026-06-22,5.0,128.0,38.0,10.0,25.0,4.0,15.0,17.0,242.0,10.83,10.4
2026-06-23,1.0,5.0,6.0,1.0,3.0,0.0,1.0,1.0,18.0,21.11,11.92
